,text
0,"I’ve got several questions for Mark Thurston, Boss of #HS2 \n\n1. What is it going to cost and why don’t you know after 9 years of design and spending taxpayers money? \n\n#wakeuptomoney @bbc5live https://t.co/E7SNkgOu1L"
1,#HS2 stinks of corruption. Waste of money. Damage to environment.\n\n(People who live in SW are sooo happy to pay for HS2. We are as well as cut off - and we have to pay for this rubbish project). https://t.co/338hbMld53
2,It's rather sad news that most of the #trees planted as part of #HS2 are dead. We can't do anything about those but please help us water the #newtrees in #WalthamForest!  https://t.co/6FNkEhXlU2
3,"So @MarcusJBall you want to take @BorisJohnson to task for lying about a trifling £350 million in the hope of thwarting his leadership chances?\nThink on - BJ is the man who, given the chance, would like to scrap #HS2 and save UK taxpayers £100 BILLION.\nAnd #HS2 have told WHOPPERS"
4,#HS2 do not have formal notice to proceed and first £27 billion withheld - so why are they disgracefully continuing to destroy swathes of beautiful countryside and how are they paying contractors? \n@CherylGillan @BorisJohnson @ anybody?\nToday it’s Berkswell. \nI don’t understand.
5,"Once again 228 NorthBound #WellsHouseRoad bus stop has been closed down by @HS2ltd @TfL &amp; @EalingCouncil, leaving elderly &amp; disabled isolated. This is a repetitive fight that #HS2 ignores because they JUST DON'T CARE. @ForumOon @NoNW10dump @oldoakparkroyal @Hitesh_T @SteveDW3 https://t.co/PPhrO31Aay"
8,"Thanks to a boost in direct action support from #ExtinctionRebellion the utterly pointless #hs2 robbery of over £100 billion of our money that makes no business or environmental sense, is finally being slowed down. Shame on you @Andrew_Adonis @HS2ltd https://t.co/QsB3DcL5N8"
9,"Nobody needs HS2. It will cost £60-70billion Minimum. For what? A few minutes off existing times. Big deal. Ticket prices workers will not be able to afford. Pointless. We’ve more pressing priorities. #uk\n\n#HS2 will 'short change' the the North, say peers https://t.co/EdzRC9lGIs"
11,MPs drawing ranks cos one of them could lose their fortune if its proved they lied.....good.....time these people were held accountable if they deliberately lie like the lies they told on #hs2 #NorthernPowerhouse! #ToryLeadership #ToryLeadershipContest https://t.co/0r8FcsbzYq
12,Sunk cost fallacy again. 2 billion on assets can be sold. Don't wait for more to be wasted #HS2 \n@DominicRaab https://t.co/1oRb902OYz
14,This is really scary sh*t from #hs2 &amp; #failinggrayling China style persecution of an innocent person. All the way to High Court &amp; the threat of asset seasure. What next from these scum? https://t.co/UO2TPM4ViJ
15,"Dear Teachers and Parents.....when you are wondering why your pay rise is so small or why you don’t have money for books, pens or paper......the @educationgovuk shelled out the cash on a PR project to sell the Country #hs2 https://t.co/fZcQtfF3qN"
17,Britain needs every scrap of wildlife and every penny it's got to mitigate #ClimateCatastrophe .  Please sign petition.  Stop #HS2!\n\nhttps://t.co/GdV6kQzz6f
